Comment ,Designator ,Footprint,LCSC Part Number,Manufacturer,Qty
ESP32-S3 Wroom-1-N16R8,U1,MODULE-SMD_38-L18,C2913202,Espressif system,1
W5500,U2,LQFP-48_7x7mm_P0.5mm,C31905,WIZnet,1
CP2102N-A02-GQFN24,U3,QFN-24_4x4mm_PO.5mm,C208138,Silicon Labs ,1
MP2307DN-LF-Z,U4,SOIC-8-EP_3.9x4.9mm_P1.27mm,C14256,MPS,1
10uf 16V X7R 0805,"C1, C2, C3, C4",C0805,C15850,Murata,4
10k Ohm 1% 0603,"R1, R2, R3",R0603,C22883,Yageo,3
